@id,@name,@type,FIPScounty,bathrooms,bedrooms,city,finishedSqFt,lastSoldDate,lastSoldPrice,latitude,links,longitude,lotSizeSqFt,state,street,taxAssessment,taxAssessmentYear,totalRooms,useCode,yearBuilt,zestimate,zindexValue,zipcode,zpid
343867,East Raleigh,neighborhood,37183,2,4,Raleigh,1716,3/22/2016,84000,35.800011,"{'overview': 'http://www.zillow.com/local-info/NC-Raleigh/East-Raleigh/r_343867/', 'forSaleByOwner': 'http://www.zillow.com/east-raleigh-raleigh-nc/fsbo/', 'forSale': 'http://www.zillow.com/east-raleigh-raleigh-nc/'}",-78.60071,10890,NC,1416 Crabtree Blvd,150836,2018,8,SingleFamily,1967,249901,"146,700",27610,6381686
270318,North Raleigh,neighborhood,37183,3,3,Raleigh,1360,5/29/2007,119000,35.871388,"{'overview': 'http://www.zillow.com/local-info/NC-Raleigh/North-Raleigh/r_270318/', 'forSaleByOwner': 'http://www.zillow.com/north-raleigh-raleigh-nc/fsbo/', 'forSale': 'http://www.zillow.com/north-raleigh-raleigh-nc/'}",-78.647425,1742,NC,6535 Hearthstone Dr,113967,2018,4,SingleFamily,1983,,"270,100",27615,6473022
54047,Raleigh,city,37183,4,4,Raleigh,3726,12/30/2004,615000,35.942739,"{'overview': 'http://www.zillow.com/local-info/NC-Raleigh/r_54047/', 'forSaleByOwner': 'http://www.zillow.com/raleigh-nc/fsbo/', 'forSale': 'http://www.zillow.com/raleigh-nc/'}",-78.687844,43995,NC,5621 Greenevers Dr,537207,2018,,SingleFamily,2004,654816,"221,100",27613,67553276
270318,North Raleigh,neighborhood,37183,3,4,Raleigh,2589,10/3/2014,337000,35.913404,"{'overview': 'http://www.zillow.com/local-info/NC-Raleigh/North-Raleigh/r_270318/', 'forSaleByOwner': 'http://www.zillow.com/north-raleigh-raleigh-nc/fsbo/', 'forSale': 'http://www.zillow.com/north-raleigh-raleigh-nc/'}",-78.581157,14374,NC,10301 Sorrills Creek Ln,336663,2018,10,SingleFamily,1999,395000,"270,100",27614,6559556
343867,East Raleigh,neighborhood,37183,2,3,Raleigh,1386,12/27/2018,160000,35.786851,"{'overview': 'http://www.zillow.com/local-info/NC-Raleigh/East-Raleigh/r_343867/', 'forSaleByOwner': 'http://www.zillow.com/east-raleigh-raleigh-nc/fsbo/', 'forSale': 'http://www.zillow.com/east-raleigh-raleigh-nc/'}",-78.613022,15246,NC,421 Colleton Rd,125343,2018,5,SingleFamily,1951,370476,"146,700",27610,6380910
54047,Raleigh,city,37183,4,4,Raleigh,3917,3/8/2013,427000,35.723929,"{'overview': 'http://www.zillow.com/local-info/NC-Raleigh/r_54047/', 'forSaleByOwner': 'http://www.zillow.com/raleigh-nc/fsbo/', 'forSale': 'http://www.zillow.com/raleigh-nc/'}",-78.454965,43560,NC,5005 White Leaf Ct,480674,2018,,SingleFamily,2013,545826,"221,100",27610,119341831
343869,Northeast Raleigh,neighborhood,37183,3,3,Raleigh,2512,5/27/2014,282000,35.83661,"{'overview': 'http://www.zillow.com/local-info/NC-Raleigh/Northeast-Raleigh/r_343869/', 'forSaleByOwner': 'http://www.zillow.com/northeast-raleigh-raleigh-nc/fsbo/', 'forSale': 'http://www.zillow.com/northeast-raleigh-raleigh-nc/'}",-78.55591,16552,NC,4237 Brintons Cottage St,261830,2018,,SingleFamily,2013,360000,"171,900",27616,122279629
343869,Northeast Raleigh,neighborhood,37183,1,1,Raleigh,714,6/14/2016,89000,35.811674,"{'overview': 'http://www.zillow.com/local-info/NC-Raleigh/Northeast-Raleigh/r_343869/', 'forSaleByOwner': 'http://www.zillow.com/northeast-raleigh-raleigh-nc/fsbo/', 'forSale': 'http://www.zillow.com/northeast-raleigh-raleigh-nc/'}",-78.536312,2613,NC,2235 Whistling Straits Way,74768,2018,3,SingleFamily,2004,115000,"171,900",27604,65333136
343868,Northwest Raleigh,neighborhood,37183,3,4,Raleigh,2080,10/15/2014,240000,35.922535,"{'overview': 'http://www.zillow.com/local-info/NC-Raleigh/Northwest-Raleigh/r_343868/', 'forSaleByOwner': 'http://www.zillow.com/northwest-raleigh-raleigh-nc/fsbo/', 'forSale': 'http://www.zillow.com/northwest-raleigh-raleigh-nc/'}",-78.741872,3920,NC,4904 Morning Edge Dr,229598,2018,10,SingleFamily,2000,300001,"276,500",27613,53458575
54047,Raleigh,city,37183,3,4,Raleigh,3316,6/30/2016,399000,35.711374,"{'overview': 'http://www.zillow.com/local-info/NC-Raleigh/r_54047/', 'forSaleByOwner': 'http://www.zillow.com/raleigh-nc/fsbo/', 'forSale': 'http://www.zillow.com/raleigh-nc/'}",-78.69162,57063,NC,4913 Kundinger Ct,367185,2018,9,SingleFamily,1988,475240,"221,100",27606,6487286
54047,Raleigh,city,37183,8,5,Raleigh,8368,10/12/2012,145000,35.946615,"{'overview': 'http://www.zillow.com/local-info/NC-Raleigh/r_54047/', 'forSaleByOwner': 'http://www.zillow.com/raleigh-nc/fsbo/', 'forSale': 'http://www.zillow.com/raleigh-nc/'}",-78.667538,53578,NC,6084 Charleycote Dr,1425927,2018,,SingleFamily,2014,1376100,"221,100",27614,125276879
54047,Raleigh,city,37183,2.5,3,Raleigh,2545,10/2/2019,278000,35.624746,"{'overview': 'http://www.zillow.com/local-info/NC-Raleigh/r_54047/', 'forSaleByOwner': 'http://www.zillow.com/raleigh-nc/fsbo/', 'forSale': 'http://www.zillow.com/raleigh-nc/'}",-78.684055,35283,NC,2925 Deep Glen Ct,235624,2018,,SingleFamily,2005,281877,"221,100",27603,68319457
343868,Northwest Raleigh,neighborhood,37183,3,4,Raleigh,2559,3/29/2004,305000,35.876063,"{'overview': 'http://www.zillow.com/local-info/NC-Raleigh/Northwest-Raleigh/r_343868/', 'forSaleByOwner': 'http://www.zillow.com/northwest-raleigh-raleigh-nc/fsbo/', 'forSale': 'http://www.zillow.com/northwest-raleigh-raleigh-nc/'}",-78.737205,13068,NC,7925 Looking Glass Ct,355434,2018,9,SingleFamily,1994,439602,"276,500",27612,6531798
270318,North Raleigh,neighborhood,37183,3,3,Raleigh,1735,8/27/2015,243900,35.898831,"{'overview': 'http://www.zillow.com/local-info/NC-Raleigh/North-Raleigh/r_270318/', 'forSaleByOwner': 'http://www.zillow.com/north-raleigh-raleigh-nc/fsbo/', 'forSale': 'http://www.zillow.com/north-raleigh-raleigh-nc/'}",-78.576714,13068,NC,9705 Dansington Ct,217012,2018,6,SingleFamily,1990,285901,"270,100",27615,6513718
270318,North Raleigh,neighborhood,37183,3,3,Raleigh,1741,3/31/1983,77000,35.885491,"{'overview': 'http://www.zillow.com/local-info/NC-Raleigh/North-Raleigh/r_270318/', 'forSaleByOwner': 'http://www.zillow.com/north-raleigh-raleigh-nc/fsbo/', 'forSale': 'http://www.zillow.com/north-raleigh-raleigh-nc/'}",-78.66528,11761,NC,7705 Valley Run Dr,235008,2018,6,SingleFamily,1983,320001,"270,100",27615,6467318
54047,Raleigh,city,,3,4,Raleigh,3280,,,35.982828,"{'overview': 'http://www.zillow.com/local-info/NC-Raleigh/r_54047/', 'forSaleByOwner': 'http://www.zillow.com/raleigh-nc/fsbo/', 'forSale': 'http://www.zillow.com/raleigh-nc/'}",-78.670442,25047,NC,12328 Marsh Field Dr LOT 33,,,,SingleFamily,,620352,"221,100",27614,2082335200
54047,Raleigh,city,37183,4,5,Raleigh,3577,3/30/2001,285000,35.858326,"{'overview': 'http://www.zillow.com/local-info/NC-Raleigh/r_54047/', 'forSaleByOwner': 'http://www.zillow.com/raleigh-nc/fsbo/', 'forSale': 'http://www.zillow.com/raleigh-nc/'}",-78.500267,35283,NC,3905 Lauriston Rd,356487,2018,15,SingleFamily,2000,,"221,100",27616,53458459
343875,South Central,neighborhood,37183,1,2,Raleigh,649,8/19/2019,85000,35.76854,"{'overview': 'http://www.zillow.com/local-info/NC-Raleigh/South-Central/r_343875/', 'forSaleByOwner': 'http://www.zillow.com/south-central-raleigh-nc/fsbo/', 'forSale': 'http://www.zillow.com/south-central-raleigh-nc/'}",-78.620214,3920,NC,1128 Upchurch St,59468,2018,5,SingleFamily,1968,131422,"115,400",27610,6392346
