@id,@name,@type,FIPScounty,bathrooms,bedrooms,city,finishedSqFt,lastSoldDate,lastSoldPrice,latitude,links,longitude,lotSizeSqFt,state,street,taxAssessment,taxAssessmentYear,totalRooms,useCode,yearBuilt,zestimate,zindexValue,zipcode,zpid
54047,Raleigh,city,37183,8,5,Raleigh,6119,9/14/2006,970000,35.947271,"{'overview': 'http://www.zillow.com/local-info/NC-Raleigh/r_54047/', 'forSaleByOwner': 'http://www.zillow.com/raleigh-nc/fsbo/', 'forSale': 'http://www.zillow.com/raleigh-nc/'}",-78.629852,120225,NC,512 Pendleton Lake Rd,889332,2018,11,SingleFamily,1996,924101,"221,100",27614,6517184
54047,Raleigh,city,37183,6,5,Raleigh,8418,9/15/2017,1350000,35.946774,"{'overview': 'http://www.zillow.com/local-info/NC-Raleigh/r_54047/', 'forSaleByOwner': 'http://www.zillow.com/raleigh-nc/fsbo/', 'forSale': 'http://www.zillow.com/raleigh-nc/'}",-78.696289,60984,NC,11201 Jonas Ridge Ln,1947273,2018,18,SingleFamily,2005,1679824,"221,100",27613,65339907
54047,Raleigh,city,37183,6,4,Raleigh,4112,7/28/2011,550000,35.941964,"{'overview': 'http://www.zillow.com/local-info/NC-Raleigh/r_54047/', 'forSaleByOwner': 'http://www.zillow.com/raleigh-nc/fsbo/', 'forSale': 'http://www.zillow.com/raleigh-nc/'}",-78.726532,40075,NC,2412 Loring Ct,729607,2018,12,SingleFamily,2007,832565,"221,100",27613,82677354
343868,Northwest Raleigh,neighborhood,37183,3,4,Raleigh,2564,3/24/2003,240000,35.882601,"{'overview': 'http://www.zillow.com/local-info/NC-Raleigh/Northwest-Raleigh/r_343868/', 'forSaleByOwner': 'http://www.zillow.com/northwest-raleigh-raleigh-nc/fsbo/', 'forSale': 'http://www.zillow.com/northwest-raleigh-raleigh-nc/'}",-78.729669,7840,NC,7540 Silver View Ln,320046,2018,,SingleFamily,2002,376501,"276,500",27613,62038055
343868,Northwest Raleigh,neighborhood,37063,3,4,Durham,2325,3/22/2004,175000,35.930308,"{'overview': 'http://www.zillow.com/local-info/NC-Raleigh/Northwest-Raleigh/r_343868/', 'forSaleByOwner': 'http://www.zillow.com/northwest-raleigh-raleigh-nc/fsbo/', 'forSale': 'http://www.zillow.com/northwest-raleigh-raleigh-nc/'}",-78.754101,7405,NC,12420 Kendall Ridge Ct,230054,2018,9,SingleFamily,2003,298263,"276,500",27703,80202366
54047,Raleigh,city,37183,3,4,Raleigh,3164,,,35.91598,"{'overview': 'http://www.zillow.com/local-info/NC-Raleigh/r_54047/', 'forSaleByOwner': 'http://www.zillow.com/raleigh-nc/fsbo/', 'forSale': 'http://www.zillow.com/raleigh-nc/'}",-78.753042,6970,NC,8832 Moss Glen Dr,,2018,,SingleFamily,,591944,"221,100",27617,248747852
343863,Wade,neighborhood,37183,3,4,Raleigh,2491,2/28/2011,485000,35.794249,"{'overview': 'http://www.zillow.com/local-info/NC-Raleigh/Wade/r_343863/', 'forSaleByOwner': 'http://www.zillow.com/wade-raleigh-nc/fsbo/', 'forSale': 'http://www.zillow.com/wade-raleigh-nc/'}",-78.666951,5662,NC,710 Latta St,528216,2018,5,SingleFamily,2010,655006,"454,400",27607,6435029
343867,East Raleigh,neighborhood,37183,1,4,Raleigh,1178,11/3/2003,90000,35.792656,"{'overview': 'http://www.zillow.com/local-info/NC-Raleigh/East-Raleigh/r_343867/', 'forSaleByOwner': 'http://www.zillow.com/east-raleigh-raleigh-nc/fsbo/', 'forSale': 'http://www.zillow.com/east-raleigh-raleigh-nc/'}",-78.603381,10018,NC,2410 Kennington Rd,135287,2018,6,SingleFamily,1960,286073,"146,700",27610,6411113
54047,Raleigh,city,,4,4,Raleigh,4614,,,35.948393,"{'overview': 'http://www.zillow.com/local-info/NC-Raleigh/r_54047/', 'forSaleByOwner': 'http://www.zillow.com/raleigh-nc/fsbo/', 'forSale': 'http://www.zillow.com/raleigh-nc/'}",-78.683124,27747,NC,1520 Kirkby Ln,,,,SingleFamily,2019,1167287,"221,100",27614,2083052170
270318,North Raleigh,neighborhood,37183,6,3,Raleigh,4535,2/7/2006,417500,35.868479,"{'overview': 'http://www.zillow.com/local-info/NC-Raleigh/North-Raleigh/r_270318/', 'forSaleByOwner': 'http://www.zillow.com/north-raleigh-raleigh-nc/fsbo/', 'forSale': 'http://www.zillow.com/north-raleigh-raleigh-nc/'}",-78.596854,44866,NC,6508 Litchford Rd,424552,2018,,SingleFamily,1998,523209,"270,100",27615,6408215
54047,Raleigh,city,37183,5,4,Raleigh,4521,3/30/2007,520000,35.913622,"{'overview': 'http://www.zillow.com/local-info/NC-Raleigh/r_54047/', 'forSaleByOwner': 'http://www.zillow.com/raleigh-nc/fsbo/', 'forSale': 'http://www.zillow.com/raleigh-nc/'}",-78.64809,40510,NC,204 Dalton Dr,446911,2018,14,SingleFamily,1988,542253,"221,100",27615,6497972
54047,Raleigh,city,37183,4,4,Raleigh,3694,,,35.711686,"{'overview': 'http://www.zillow.com/local-info/NC-Raleigh/r_54047/', 'forSaleByOwner': 'http://www.zillow.com/raleigh-nc/fsbo/', 'forSale': 'http://www.zillow.com/raleigh-nc/'}",-78.681839,30056,NC,2524 Flume Gate Dr,100000,2018,,SingleFamily,,,"221,100",27603,248749602
343869,Northeast Raleigh,neighborhood,37183,3,4,Raleigh,2001,10/8/2003,160000,35.887766,"{'overview': 'http://www.zillow.com/local-info/NC-Raleigh/Northeast-Raleigh/r_343869/', 'forSaleByOwner': 'http://www.zillow.com/northeast-raleigh-raleigh-nc/fsbo/', 'forSale': 'http://www.zillow.com/northeast-raleigh-raleigh-nc/'}",-78.506771,6098,NC,7814 Braefield Dr,187292,2018,,SingleFamily,2003,256905,"171,900",27616,65335553
343875,South Central,neighborhood,37183,3,3,Raleigh,1827,,,35.772521,"{'overview': 'http://www.zillow.com/local-info/NC-Raleigh/South-Central/r_343875/', 'forSaleByOwner': 'http://www.zillow.com/south-central-raleigh-nc/fsbo/', 'forSale': 'http://www.zillow.com/south-central-raleigh-nc/'}",-78.619484,6098,NC,527 Bart St,30000,2018,6,SingleFamily,2019,551964,"115,400",27610,248750784
54047,Raleigh,city,37183,4,4,Raleigh,3638,4/10/2014,490000,35.642982,"{'overview': 'http://www.zillow.com/local-info/NC-Raleigh/r_54047/', 'forSaleByOwner': 'http://www.zillow.com/raleigh-nc/fsbo/', 'forSale': 'http://www.zillow.com/raleigh-nc/'}",-78.683259,50965,NC,1416 Wynncrest Ct,475040,2018,14,SingleFamily,2002,553924,"221,100",27603,60532117
343867,East Raleigh,neighborhood,37183,1,3,Raleigh,1080,3/4/1987,17500,35.801949,"{'overview': 'http://www.zillow.com/local-info/NC-Raleigh/East-Raleigh/r_343867/', 'forSaleByOwner': 'http://www.zillow.com/east-raleigh-raleigh-nc/fsbo/', 'forSale': 'http://www.zillow.com/east-raleigh-raleigh-nc/'}",-78.615366,10890,NC,2123 Watkins St,189660,2018,5,SingleFamily,1958,296972,"146,700",27604,6427115
343868,Northwest Raleigh,neighborhood,37183,3,4,Raleigh,2000,8/31/2012,205000,35.879967,"{'overview': 'http://www.zillow.com/local-info/NC-Raleigh/Northwest-Raleigh/r_343868/', 'forSaleByOwner': 'http://www.zillow.com/northwest-raleigh-raleigh-nc/fsbo/', 'forSale': 'http://www.zillow.com/northwest-raleigh-raleigh-nc/'}",-78.703937,10890,NC,4128 Mardella Dr,248599,2018,6,SingleFamily,1986,300000,"276,500",27613,6486684
343868,Northwest Raleigh,neighborhood,37183,4,3,Raleigh,1893,8/5/2016,224357,35.869906,"{'overview': 'http://www.zillow.com/local-info/NC-Raleigh/Northwest-Raleigh/r_343868/', 'forSaleByOwner': 'http://www.zillow.com/northwest-raleigh-raleigh-nc/fsbo/', 'forSale': 'http://www.zillow.com/northwest-raleigh-raleigh-nc/'}",-78.723902,871,NC,7804 Allscott Way,211373,2018,,SingleFamily,2016,263072,"276,500",27612,132178326
270318,North Raleigh,neighborhood,37183,3,3,Raleigh,2484,4/28/2006,380000,35.891197,"{'overview': 'http://www.zillow.com/local-info/NC-Raleigh/North-Raleigh/r_270318/', 'forSaleByOwner': 'http://www.zillow.com/north-raleigh-raleigh-nc/fsbo/', 'forSale': 'http://www.zillow.com/north-raleigh-raleigh-nc/'}",-78.605596,21344,NC,7721 Rainwater Rd,413637,2018,7,SingleFamily,1987,492533,"270,100",27615,6481005
270318,North Raleigh,neighborhood,37183,3,4,Raleigh,2400,12/17/2004,150000,35.877534,"{'overview': 'http://www.zillow.com/local-info/NC-Raleigh/North-Raleigh/r_270318/', 'forSaleByOwner': 'http://www.zillow.com/north-raleigh-raleigh-nc/fsbo/', 'forSale': 'http://www.zillow.com/north-raleigh-raleigh-nc/'}",-78.656102,15246,NC,7320 Mine Shaft Rd,246430,2018,8,SingleFamily,1982,382279,"270,100",27615,6468787
54047,Raleigh,city,37183,3,4,Raleigh,2729,2/16/2011,219500,35.671172,"{'overview': 'http://www.zillow.com/local-info/NC-Raleigh/r_54047/', 'forSaleByOwner': 'http://www.zillow.com/raleigh-nc/fsbo/', 'forSale': 'http://www.zillow.com/raleigh-nc/'}",-78.673146,10890,NC,862 Seastone St,259210,2018,,SingleFamily,2010,310731,"221,100",27603,110602106
343868,Northwest Raleigh,neighborhood,37183,3,3,Raleigh,3355,5/20/2005,409500,35.912501,"{'overview': 'http://www.zillow.com/local-info/NC-Raleigh/Northwest-Raleigh/r_343868/', 'forSaleByOwner': 'http://www.zillow.com/northwest-raleigh-raleigh-nc/fsbo/', 'forSale': 'http://www.zillow.com/northwest-raleigh-raleigh-nc/'}",-78.805913,10890,NC,9636 Heathermill Ln,440620,2018,9,SingleFamily,2005,505501,"276,500",27617,65342169
343869,Northeast Raleigh,neighborhood,37183,3,4,Raleigh,1899,7/23/2019,125000,35.872184,"{'overview': 'http://www.zillow.com/local-info/NC-Raleigh/Northeast-Raleigh/r_343869/', 'forSaleByOwner': 'http://www.zillow.com/northeast-raleigh-raleigh-nc/fsbo/', 'forSale': 'http://www.zillow.com/northeast-raleigh-raleigh-nc/'}",-78.550566,38332,NC,6916 Beaverwood Dr,155701,2018,12,SingleFamily,1998,234519,"171,900",27616,6564453
343867,East Raleigh,neighborhood,37183,2,3,Raleigh,1410,5/15/2013,120000,35.795883,"{'overview': 'http://www.zillow.com/local-info/NC-Raleigh/East-Raleigh/r_343867/', 'forSaleByOwner': 'http://www.zillow.com/east-raleigh-raleigh-nc/fsbo/', 'forSale': 'http://www.zillow.com/east-raleigh-raleigh-nc/'}",-78.599975,9583,NC,1304 Somerset Rd,134466,2018,6,SingleFamily,1962,330680,"146,700",27610,6404180
54047,Raleigh,city,37183,8,5,Raleigh,10053,6/23/2006,2300000,35.94915,"{'overview': 'http://www.zillow.com/local-info/NC-Raleigh/r_54047/', 'forSaleByOwner': 'http://www.zillow.com/raleigh-nc/fsbo/', 'forSale': 'http://www.zillow.com/raleigh-nc/'}",-78.695319,285318,NC,11217 Jonas Ridge Ln,1779879,2018,14,SingleFamily,2005,1715749,"221,100",27613,69565454
343862,Five Points,neighborhood,37183,1,2,Raleigh,910,7/13/2007,180000,35.802203,"{'overview': 'http://www.zillow.com/local-info/NC-Raleigh/Five-Points/r_343862/', 'forSaleByOwner': 'http://www.zillow.com/five-points-raleigh-nc/fsbo/', 'forSale': 'http://www.zillow.com/five-points-raleigh-nc/'}",-78.637092,12196,NC,1618 Bickett Blvd,280307,2018,5,SingleFamily,1944,393656,"411,300",27608,6423452
343872,North Central,neighborhood,37183,1,3,Raleigh,1213,,,35.783862,"{'overview': 'http://www.zillow.com/local-info/NC-Raleigh/North-Central/r_343872/', 'forSaleByOwner': 'http://www.zillow.com/north-central-raleigh-nc/fsbo/', 'forSale': 'http://www.zillow.com/north-central-raleigh-nc/'}",-78.614656,5662,NC,1900 Oakwood Ave,69027,2018,4,SingleFamily,1935,189243,"231,700",27610,6427819
270318,North Raleigh,neighborhood,37183,5,5,Raleigh,4365,6/13/2011,445000,35.852001,"{'overview': 'http://www.zillow.com/local-info/NC-Raleigh/North-Raleigh/r_270318/', 'forSaleByOwner': 'http://www.zillow.com/north-raleigh-raleigh-nc/fsbo/', 'forSale': 'http://www.zillow.com/north-raleigh-raleigh-nc/'}",-78.622363,12632,NC,1010 Ivy Ln,502725,2018,,SingleFamily,2008,624908,"270,100",27609,87885781
54047,Raleigh,city,37183,3,5,Raleigh,3003,12/27/2018,474000,35.915608,"{'overview': 'http://www.zillow.com/local-info/NC-Raleigh/r_54047/', 'forSaleByOwner': 'http://www.zillow.com/raleigh-nc/fsbo/', 'forSale': 'http://www.zillow.com/raleigh-nc/'}",-78.75251,6534,NC,8825 Moss Glen Dr,,2018,10,SingleFamily,2018,481792,"221,100",27617,248755259
54047,Raleigh,city,37183,4,4,Raleigh,5474,6/26/2019,550000,35.923534,"{'overview': 'http://www.zillow.com/local-info/NC-Raleigh/r_54047/', 'forSaleByOwner': 'http://www.zillow.com/raleigh-nc/fsbo/', 'forSale': 'http://www.zillow.com/raleigh-nc/'}",-78.69144,40075,NC,5232 Wildmarsh Dr,716769,2018,12,SingleFamily,1997,,"221,100",27613,6557902
343869,Northeast Raleigh,neighborhood,37183,2,3,Raleigh,1277,8/18/2008,141000,35.851585,"{'overview': 'http://www.zillow.com/local-info/NC-Raleigh/Northeast-Raleigh/r_343869/', 'forSaleByOwner': 'http://www.zillow.com/northeast-raleigh-raleigh-nc/fsbo/', 'forSale': 'http://www.zillow.com/northeast-raleigh-raleigh-nc/'}",-78.565251,11325,NC,4609 Fox Rd,133102,2018,6,SingleFamily,1989,199900,"171,900",27616,6509648
54047,Raleigh,city,37183,4,3,Raleigh,3480,8/24/2015,362500,35.620369,"{'overview': 'http://www.zillow.com/local-info/NC-Raleigh/r_54047/', 'forSaleByOwner': 'http://www.zillow.com/raleigh-nc/fsbo/', 'forSale': 'http://www.zillow.com/raleigh-nc/'}",-78.670087,24829,NC,1029 Turner Meadow Dr,376165,2018,11,SingleFamily,2004,394901,"221,100",27603,65330189
343868,Northwest Raleigh,neighborhood,37183,3,5,Raleigh,3628,11/30/1974,72500,35.848979,"{'overview': 'http://www.zillow.com/local-info/NC-Raleigh/Northwest-Raleigh/r_343868/', 'forSaleByOwner': 'http://www.zillow.com/northwest-raleigh-raleigh-nc/fsbo/', 'forSale': 'http://www.zillow.com/northwest-raleigh-raleigh-nc/'}",-78.684944,24829,NC,4725 Wildwood St,376804,2018,9,SingleFamily,1965,487816,"276,500",27612,6411895
343868,Northwest Raleigh,neighborhood,37183,3,4,Raleigh,2769,7/31/2009,320000,35.850269,"{'overview': 'http://www.zillow.com/local-info/NC-Raleigh/Northwest-Raleigh/r_343868/', 'forSaleByOwner': 'http://www.zillow.com/northwest-raleigh-raleigh-nc/fsbo/', 'forSale': 'http://www.zillow.com/northwest-raleigh-raleigh-nc/'}",-78.683434,24829,NC,4705 Rembert Dr,338576,2018,8,SingleFamily,1960,494791,"276,500",27612,6432696
