,@id,@name,@type,FIPScounty,bathrooms,bedrooms,city,finishedSqFt,lastSoldDate,lastSoldPrice,latitude,links,longitude,lotSizeSqFt,state,street,taxAssessment,taxAssessmentYear,totalRooms,useCode,yearBuilt,zestimate,zindexValue,zipcode,zpid,cluster
1444,816400,Lochmere,neighborhood,37183.0,3.0,4.0,Cary,2775.0,5/19/2010,295000.0,35.737097999999996,"{'overview': 'http://www.zillow.com/local-info/NC-Cary/Lochmere/r_816400/', 'forSaleByOwner': 'http://www.zillow.com/lochmere-cary-nc/fsbo/', 'forSale': 'http://www.zillow.com/lochmere-cary-nc/'}",-78.753925,15115.0,NC,218 Strathburgh Ln,391027.0,2018.0,8.0,SingleFamily,1995.0,449000.0,,27518,6542056,28
1445,51297,Cary,city,37183.0,5.0,5.0,Cary,4697.0,5/29/2014,729500.0,35.817049,"{'overview': 'http://www.zillow.com/local-info/NC-Cary/r_51297/', 'forSaleByOwner': 'http://www.zillow.com/cary-nc/fsbo/', 'forSale': 'http://www.zillow.com/cary-nc/'}",-78.917324,13068.0,NC,717 Rolling Springs Dr,740752.0,2018.0,13.0,SingleFamily,2014.0,735162.0,"336,400",27519,125311361,49
1446,816400,Lochmere,neighborhood,37183.0,3.0,4.0,Cary,2587.0,11/14/2007,305000.0,35.740099,"{'overview': 'http://www.zillow.com/local-info/NC-Cary/Lochmere/r_816400/', 'forSaleByOwner': 'http://www.zillow.com/lochmere-cary-nc/fsbo/', 'forSale': 'http://www.zillow.com/lochmere-cary-nc/'}",-78.759888,11761.0,NC,411 Jaslie Dr,331964.0,2018.0,9.0,SingleFamily,1995.0,415000.0,,27518,6543118,28
1447,816416,Cameron Pond,neighborhood,37183.0,4.0,4.0,Cary,2926.0,10/17/2019,475000.0,35.824836,"{'overview': 'http://www.zillow.com/local-info/NC-Cary/Cameron-Pond/r_816416/', 'forSaleByOwner': 'http://www.zillow.com/cameron-pond-cary-nc/fsbo/', 'forSale': 'http://www.zillow.com/cameron-pond-cary-nc/'}",-78.889662,7405.0,NC,2819 Cameron Pond Dr,448382.0,2018.0,,SingleFamily,2008.0,475175.0,,27519,82669810,35
1448,816394,Kildaire Farms,neighborhood,37183.0,3.0,4.0,Cary,3071.0,10/17/2019,423000.0,35.7568,"{'overview': 'http://www.zillow.com/local-info/NC-Cary/Kildaire-Farms/r_816394/', 'forSaleByOwner': 'http://www.zillow.com/kildaire-farms-cary-nc/fsbo/', 'forSale': 'http://www.zillow.com/kildaire-farms-cary-nc/'}",-78.789772,21344.0,NC,112 Cunningham Ct,358233.0,2018.0,9.0,SingleFamily,1984.0,423156.0,,27511,6479677,63
1449,816403,Amberly,neighborhood,,6.0,4.0,Cary,4145.0,10/17/2019,950000.0,35.831387,"{'overview': 'http://www.zillow.com/local-info/NC-Cary/Amberly/r_816403/', 'forSaleByOwner': 'http://www.zillow.com/amberly-cary-nc/fsbo/', 'forSale': 'http://www.zillow.com/amberly-cary-nc/'}",-78.920047,23086.0,NC,1617 Montvale Grant Way,,,,SingleFamily,2019.0,950393.0,,27519,2083155332,49
1450,816385,Park Village,neighborhood,37183.0,2.5,3.0,Cary,1424.0,6/9/2017,263500.0,35.774836,"{'overview': 'http://www.zillow.com/local-info/NC-Cary/Park-Village/r_816385/', 'forSaleByOwner': 'http://www.zillow.com/park-village-cary-nc/fsbo/', 'forSale': 'http://www.zillow.com/park-village-cary-nc/'}",-78.84804799999999,5663.0,NC,109 Mint Hill Dr,215387.0,2018.0,,SingleFamily,1997.0,295142.0,,27519,6565510,37
1451,816403,Amberly,neighborhood,37037.0,4.0,4.0,Cary,3160.0,8/20/2014,430000.0,35.822447,"{'overview': 'http://www.zillow.com/local-info/NC-Cary/Amberly/r_816403/', 'forSaleByOwner': 'http://www.zillow.com/amberly-cary-nc/fsbo/', 'forSale': 'http://www.zillow.com/amberly-cary-nc/'}",-78.920241,9583.0,NC,709 Toms Creek Rd,433916.0,2017.0,10.0,SingleFamily,2010.0,486833.0,,27519,114001514,49
1452,51297,Cary,city,37183.0,2.0,3.0,Cary,1355.0,10/16/2019,293500.0,35.763687,"{'overview': 'http://www.zillow.com/local-info/NC-Cary/r_51297/', 'forSaleByOwner': 'http://www.zillow.com/cary-nc/fsbo/', 'forSale': 'http://www.zillow.com/cary-nc/'}",-78.799842,7405.0,NC,123 Chimney Rise Dr,218184.0,2018.0,7.0,SingleFamily,1994.0,293635.0,"336,400",27511,6532557,63
1453,51297,Cary,city,37183.0,2.0,3.0,Cary,1426.0,10/16/2019,275000.0,35.813086,"{'overview': 'http://www.zillow.com/local-info/NC-Cary/r_51297/', 'forSaleByOwner': 'http://www.zillow.com/cary-nc/fsbo/', 'forSale': 'http://www.zillow.com/cary-nc/'}",-78.792976,8276.0,NC,207 Dalmeny Dr,230001.0,2018.0,7.0,SingleFamily,1989.0,275126.0,"336,400",27513,6496519,12
1454,816403,Amberly,neighborhood,,4.0,5.0,Cary,3342.0,,,35.8226,"{'overview': 'http://www.zillow.com/local-info/NC-Cary/Amberly/r_816403/', 'forSaleByOwner': 'http://www.zillow.com/amberly-cary-nc/fsbo/', 'forSale': 'http://www.zillow.com/amberly-cary-nc/'}",-78.913,,NC,464 White Iris Loop,,,,SingleFamily,2019.0,626670.0,,27519,2082929591,49
